,uncondition
0,0.002
1,0.002
2,0.0
3,0.002
4,0.002
5,0.004
6,0.0
7,0.002
8,0.004
9,0.002
10,0.002
11,0.002
12,0.0
13,0.002
14,0.002
15,0.0
16,0.002
17,0.0
18,0.0
19,0.002
20,0.002
21,0.002
22,0.002
23,0.002
24,0.004
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.002
31,0.002
32,0.002
33,0.002
34,0.002
35,0.0
36,0.002
37,0.0
38,0.002
39,0.002
40,0.002
41,0.003
42,0.002
43,0.0
44,0.004
45,0.002
46,0.004
47,0.002
48,0.002
49,0.002
50,0.002
51,0.0
52,0.004
53,0.002
54,0.002
55,0.0
56,0.0
57,0.003
58,0.002
59,0.002
60,0.0
61,0.002
62,0.0
63,0.0
64,0.002
65,0.002
66,0.002
67,0.002
68,0.0
69,0.0
70,0.002
71,0.0
72,0.002
73,0.0
74,0.0
75,0.002
76,0.002
77,0.0
78,0.002
79,0.002
80,0.0
81,0.0
82,0.002
83,0.0
84,0.0
85,0.004
86,0.002
87,0.004
88,0.002
89,0.004
90,0.0
91,0.002
92,0.002
93,0.004
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.002
102,0.002
103,0.0
104,0.002
105,0.004
106,0.0
107,0.001
108,0.0
109,0.002
110,0.002
111,0.002
112,0.002
113,0.002
114,0.002
115,0.002
116,0.002
117,0.002
118,0.0
119,0.0
120,0.0
121,0.004
122,0.0
123,0.002
124,0.002
125,0.002
126,0.0
127,0.002
128,0.002
129,0.0
130,0.002
131,0.0
132,0.0
133,0.002
134,0.0
135,0.0
136,0.004
137,0.0
138,0.0
139,0.0
140,0.0
141,0.002
142,0.0
143,0.0
144,0.002
145,0.0
146,0.004
147,0.0
148,0.0
149,0.002
150,0.0
151,0.002
152,0.002
153,0.0
154,0.0
155,0.002
156,0.002
157,0.0
158,0.0
159,0.002
160,0.0
161,0.0
162,0.002
163,0.002
164,0.002
165,0.002
166,0.0
167,0.002
168,0.004
169,0.002
170,0.002
171,0.004
172,0.004
173,0.0
174,0.0
175,0.002
176,0.0
177,0.0
178,0.002
179,0.0
180,0.004
181,0.0
182,0.002
183,0.004
184,0.002
185,0.0
186,0.002
187,0.0
188,0.002
189,0.0
190,0.002
191,0.0
192,0.0
193,0.004
194,0.002
195,0.0
196,0.0
197,0.002
198,0.002
199,0.002
