,uncon
0,0.509
1,0.514
2,0.513
3,0.51
4,0.513
5,0.492
6,0.499
7,0.497
8,0.502
9,0.503
10,0.52
11,0.485
12,0.462
13,0.482
14,0.487
15,0.494
16,0.496
17,0.493
18,0.487
19,0.487
20,0.516
21,0.505
22,0.5
23,0.511
24,0.503
25,0.503
26,0.497
27,0.506
28,0.516
29,0.487
30,0.473
31,0.474
32,0.465
33,0.491
34,0.479
35,0.467
36,0.488
37,0.483
38,0.477
39,0.498
40,0.504
41,0.493
42,0.49
43,0.502
44,0.518
45,0.515
46,0.478
47,0.476
48,0.52
49,0.497
50,0.495
51,0.496
52,0.495
53,0.499
54,0.495
55,0.497
56,0.49
57,0.487
58,0.499
59,0.513
60,0.517
61,0.528
62,0.465
63,0.464
64,0.466
65,0.483
66,0.485
67,0.493
68,0.506
69,0.495
70,0.497
71,0.499
72,0.507
73,0.52
74,0.485
75,0.484
76,0.489
77,0.504
78,0.496
79,0.483
80,0.465
81,0.964
82,0.509
83,0.489
84,0.485
85,0.494
86,0.495
87,0.524
88,0.497
89,0.487
90,0.494
91,0.49
92,0.502
93,0.499
94,0.494
95,0.492
96,0.496
97,0.508
98,0.497
99,0.497
100,1.042
101,0.969
102,0.973
103,0.969
104,1.02
105,1.01
106,0.998
107,0.995
108,0.974
109,0.987
110,0.983
111,0.98
112,0.983
113,0.979
114,1.013
115,0.996
116,0.994
117,0.994
118,0.978
119,1.0
120,0.96
121,0.988
122,1.011
123,0.994
124,1.01
125,1.048
126,0.993
127,0.996
128,0.972
129,0.963
130,0.973
131,0.969
132,0.992
133,0.976
134,1.015
135,1.013
136,0.976
137,0.975
138,0.967
139,1.025
140,0.962
141,0.955
142,0.987
143,1.0
144,1.001
145,1.019
146,1.003
147,0.987
148,0.996
149,0.994
150,0.968
151,0.967
152,0.964
153,0.94
154,0.997
155,0.96
156,0.961
157,0.992
158,0.981
159,0.996
160,0.963
161,0.962
162,1.017
163,0.978
164,0.971
165,0.963
166,0.982
167,0.994
168,0.948
169,0.973
170,0.934
171,0.966
172,0.985
173,0.96
174,0.959
175,0.95
176,1.016
177,1.002
178,1.001
179,1.042
180,0.973
181,1.001
182,0.995
183,1.003
184,1.058
185,0.941
186,0.942
187,0.946
188,0.973
189,1.004
190,0.986
191,0.989
192,0.97
193,0.977
194,1.003
195,1.01
196,1.01
197,0.965
198,0.951
199,0.98
