,uncon
0,0.504
1,0.494
2,0.494
3,0.481
4,0.485
5,0.488
6,0.517
7,0.502
8,0.487
9,0.48
10,0.483
11,0.498
12,0.5
13,0.493
14,0.504
15,0.506
16,0.518
17,0.51
18,0.495
19,0.514
20,0.492
21,0.478
22,0.509
23,0.482
24,0.5
25,0.52
26,0.511
27,0.501
28,0.496
29,0.504
30,0.519
31,0.488
32,0.47
33,0.467
34,0.496
35,0.499
36,0.505
37,0.511
38,0.496
39,0.502
40,0.504
41,0.504
42,0.518
43,0.465
44,0.466
45,0.506
46,0.506
47,0.509
48,0.502
49,0.501
50,0.508
51,0.507
52,0.5
53,0.514
54,0.514
55,0.517
56,0.475
57,0.479
58,0.492
59,0.489
60,0.475
61,0.472
62,0.49
63,0.472
64,0.493
65,0.505
66,0.497
67,0.49
68,0.495
69,0.474
70,0.474
71,0.49
72,0.491
73,0.509
74,0.505
75,0.505
76,0.487
77,0.5
78,0.513
79,0.503
80,0.503
81,0.49
82,0.496
83,0.502
84,0.51
85,0.517
86,0.508
87,0.508
88,0.503
89,0.499
90,0.511
91,0.543
92,0.501
93,0.492
94,0.494
95,0.518
96,0.483
97,0.486
98,0.494
99,0.478
100,0.971
101,1.02
102,1.005
103,0.996
104,0.994
105,0.998
106,0.986
107,0.966
108,0.966
109,0.958
110,1.016
111,1.01
112,0.934
113,0.952
114,0.945
115,0.952
116,0.967
117,0.934
118,0.953
119,0.942
120,0.942
121,0.992
122,0.983
123,1.037
124,0.969
125,0.948
126,0.985
127,1.008
128,0.964
129,1.019
130,1.002
131,1.008
132,1.004
133,1.029
134,1.01
135,0.99
136,1.023
137,1.015
138,1.041
139,0.934
140,0.937
141,1.005
142,0.992
143,1.012
144,1.022
145,1.026
146,1.035
147,0.975
148,0.926
149,0.895
150,0.92
151,1.008
152,1.016
153,0.996
154,0.984
155,0.985
156,0.977
157,0.969
158,0.967
159,0.972
160,0.967
161,1.026
162,1.005
163,0.965
164,0.951
165,0.963
166,0.98
167,1.02
168,0.963
169,0.959
170,0.971
171,1.005
172,1.009
173,0.969
174,0.953
175,0.961
176,0.992
177,0.991
178,0.979
179,1.039
180,0.997
181,1.019
182,1.011
183,1.029
184,1.063
185,0.961
186,0.966
187,0.98
188,0.989
189,1.042
190,1.02
191,0.979
192,0.972
193,0.967
194,1.006
195,1.005
196,1.006
197,1.036
198,0.998
199,0.999
