,uncondition,always taken,always not taken
0,0.473,0.479,0.481
1,0.516,0.48,0.467
2,0.498,0.477,0.478
3,0.459,0.46,0.478
4,0.477,0.491,0.51
5,0.513,0.507,0.494
6,0.47,0.495,0.5
7,0.511,0.488,0.495
8,0.481,0.473,0.512
9,0.511,0.505,0.522
10,0.451,0.445,0.445
11,0.522,0.511,0.48
12,0.495,0.486,0.48
13,0.51,0.473,0.471
14,0.479,0.485,0.491
15,0.477,0.49,0.515
16,0.492,0.487,0.49
17,0.491,0.524,0.52
18,0.51,0.487,0.489
19,0.509,0.501,0.501
20,0.498,0.5,0.507
21,0.487,0.484,0.484
22,0.488,0.489,0.488
23,0.507,0.519,0.514
24,0.514,0.475,0.502
25,0.49,0.474,0.502
26,0.506,0.511,0.458
27,0.47,0.494,0.501
28,0.493,0.487,0.487
29,0.488,0.515,0.513
30,0.506,0.493,0.507
31,0.471,0.466,0.462
32,0.464,0.515,0.473
33,0.48,0.512,0.488
34,0.497,0.502,0.502
35,0.518,0.526,0.461
36,0.464,0.477,0.509
37,0.492,0.489,0.503
38,0.487,0.511,0.486
39,0.476,0.452,0.47
40,0.485,0.507,0.485
41,0.495,0.51,0.499
42,0.501,0.504,0.494
43,0.469,0.475,0.53
44,0.484,0.486,0.493
45,0.499,0.475,0.497
46,0.485,0.5,0.493
47,0.489,0.491,0.498
48,0.49,0.494,0.493
49,0.503,0.507,0.509
50,0.498,0.5,0.498
51,0.484,0.529,0.486
52,0.473,0.508,0.512
53,0.502,0.508,0.507
54,0.514,0.5,0.509
55,0.521,0.502,0.506
56,0.504,0.508,0.492
57,0.476,0.485,0.514
58,0.5,0.505,0.491
59,0.49,0.503,0.507
60,0.48,0.476,0.515
61,0.47,0.468,0.52
62,0.499,0.508,0.503
63,0.498,0.491,0.532
64,0.505,0.49,0.501
65,0.512,0.49,0.493
66,0.517,0.487,0.483
67,0.51,0.503,0.499
68,0.49,0.495,0.483
69,0.48,0.49,0.475
70,0.469,0.479,0.486
71,0.506,0.5,0.5
72,0.494,0.466,0.463
