,uncondition,always taken,always not taken
0,0.483,0.499,0.492
1,0.506,0.495,0.497
2,0.494,0.49,0.486
3,0.471,0.473,0.484
4,0.487,0.498,0.493
5,0.492,0.483,0.495
6,0.488,0.483,0.504
7,0.481,0.484,0.509
8,0.507,0.503,0.501
9,0.497,0.499,0.487
10,0.486,0.523,0.513
11,0.507,0.484,0.484
12,0.533,0.504,0.495
13,0.497,0.486,0.482
14,0.497,0.506,0.506
15,0.464,0.462,0.481
16,0.494,0.483,0.473
17,0.488,0.499,0.512
18,0.494,0.485,0.498
19,0.491,0.491,0.529
20,0.487,0.483,0.514
21,0.502,0.507,0.496
22,0.497,0.492,0.493
23,0.498,0.494,0.493
24,0.497,0.494,0.521
25,0.494,0.48,0.496
26,0.482,0.498,0.501
27,0.485,0.488,0.486
28,0.496,0.517,0.517
29,0.504,0.503,0.533
30,0.512,0.497,0.498
31,0.495,0.485,0.503
32,0.503,0.508,0.501
33,0.481,0.487,0.482
34,0.484,0.495,0.483
35,0.476,0.479,0.481
36,0.495,0.5,0.503
37,0.486,0.493,0.506
38,0.503,0.504,0.498
39,0.505,0.497,0.491
40,0.467,0.481,0.492
41,0.492,0.498,0.489
42,0.488,0.506,0.528
43,0.493,0.482,0.5
44,0.497,0.499,0.491
45,0.502,0.496,0.5
46,0.492,0.482,0.484
47,0.48,0.482,0.52
48,0.505,0.497,0.506
49,0.506,0.477,0.473
50,0.512,0.47,0.482
51,0.523,0.488,0.486
52,0.514,0.501,0.506
53,0.499,0.519,0.497
54,0.498,0.504,0.501
55,0.512,0.479,0.474
56,0.478,0.498,0.492
57,0.487,0.487,0.491
58,0.514,0.499,0.497
59,0.478,0.476,0.508
60,0.508,0.557,0.511
61,0.496,0.497,0.497
62,0.497,0.521,0.499
63,0.488,0.496,0.495
64,0.483,0.486,0.485
65,0.497,0.497,0.516
66,0.496,0.506,0.49
67,0.489,0.498,0.502
68,0.509,0.511,0.498
69,0.508,0.51,0.532
70,0.514,0.526,0.492
71,0.502,0.499,0.5
72,0.499,0.471,0.481
73,0.477,0.473,0.486
74,0.507,0.503,0.492
75,0.496,0.504,0.486
76,0.489,0.493,0.486
77,0.483,0.483,0.492
78,0.528,0.516,0.521
79,0.517,0.511,0.505
80,0.512,0.507,0.506
81,0.502,0.484,0.48
82,0.476,0.488,0.499
83,0.502,0.514,0.486
84,0.473,0.493,0.518
85,0.513,0.508,0.481
86,0.484,0.479,0.479
87,0.517,0.497,0.496
88,0.493,0.502,0.505
89,0.503,0.514,0.48
90,0.48,0.497,0.505
91,0.509,0.512,0.506
92,0.504,0.478,0.479
93,0.51,0.488,0.489
94,0.487,0.495,0.504
95,0.495,0.493,0.49
96,0.488,0.5,0.485
97,0.498,0.486,0.487
98,0.52,0.499,0.501
99,0.515,0.493,0.513
100,1.012,1.04,0.49
101,0.99,1.036,0.503
102,1.0,1.018,0.515
103,1.004,1.018,0.509
104,1.041,1.007,0.495
105,0.978,0.986,0.499
106,1.012,0.992,0.513
107,0.989,0.988,0.476
108,0.968,0.996,0.467
109,0.982,0.996,0.503
110,1.026,1.044,0.527
111,1.008,0.945,0.48
112,0.958,1.028,0.478
113,0.933,0.919,0.466
114,0.989,0.923,0.458
115,0.951,0.958,0.491
116,1.006,0.977,0.489
117,0.987,0.985,0.489
118,0.973,0.997,0.481
119,0.956,1.032,0.511
120,1.012,0.992,0.489
121,0.969,0.967,0.483
122,0.956,0.957,0.482
123,0.997,0.988,0.512
124,1.006,1.0,0.501
125,1.026,1.051,0.501
126,1.0,1.013,0.501
127,1.021,1.028,0.513
128,1.002,0.966,0.479
129,0.963,0.99,0.509
130,0.997,0.988,0.485
131,0.97,1.018,0.488
132,0.994,1.006,0.502
133,0.996,0.999,0.518
134,0.992,0.994,0.468
135,0.948,1.003,0.48
136,0.965,0.965,0.479
137,1.0,1.006,0.505
138,1.004,1.004,0.497
139,0.966,0.969,0.497
140,0.956,0.984,0.516
141,0.939,0.988,0.48
142,1.002,0.997,0.492
143,1.012,0.988,0.494
144,0.981,0.98,0.497
145,0.994,0.958,0.497
146,0.971,0.983,0.527
147,0.997,0.996,0.487
148,1.028,0.976,0.49
149,0.999,0.945,0.481
150,1.01,1.002,0.522
151,0.981,0.978,0.501
