,uncon
0,2.474
1,2.474
2,2.498
3,2.484
4,2.48
5,2.479
6,2.499
7,2.514
8,2.476
9,2.475
10,2.475
11,2.48
12,2.51
13,2.488
14,2.484
15,2.51
16,2.48
17,2.478
18,2.502
19,2.517
20,2.479
21,2.473
22,2.472
23,2.477
24,2.481
25,2.486
26,2.491
27,2.477
28,2.501
29,2.49
30,2.483
31,2.478
32,2.491
33,2.493
34,2.487
35,2.503
36,2.493
37,2.498
38,2.494
39,2.493
40,2.481
41,2.518
42,2.479
43,2.505
44,2.506
45,2.487
46,2.486
47,2.485
48,2.482
49,2.495
50,2.459
51,2.481
52,2.478
53,2.499
54,2.987
55,2.475
56,2.474
57,2.476
58,2.488
59,2.507
60,3.003
61,2.974
62,2.986
63,3.005
64,2.979
65,2.993
66,3.004
67,3.007
68,3.018
69,3.002
70,3.002
71,2.967
72,3.009
73,2.985
74,2.963
75,3.0
76,3.02
77,2.985
78,2.98
79,3.003
80,2.965
81,2.964
82,2.993
83,2.985
84,3.014
85,2.988
86,2.981
87,2.959
88,2.923
89,2.917
90,2.964
91,2.951
92,2.993
93,2.96
94,2.961
95,2.963
96,2.94
97,2.964
98,2.914
99,2.951
100,2.986
101,2.983
102,2.998
103,2.955
104,2.969
105,2.993
106,2.983
107,3.025
108,3.022
109,2.956
110,2.957
111,2.993
112,2.985
113,2.992
114,3.008
115,3.005
116,2.966
117,2.985
118,2.969
119,2.996
120,3.008
121,2.943
122,2.959
123,2.957
124,2.986
125,2.938
126,2.954
127,2.981
128,2.947
129,2.936
130,2.952
131,3.007
132,2.99
133,2.988
134,2.968
135,2.956
136,2.99
137,3.014
138,2.986
139,2.968
140,2.946
141,2.936
142,3.01
143,2.982
144,2.966
145,2.962
146,2.986
147,2.959
148,2.979
149,2.974
150,2.973
151,2.966
152,2.925
153,2.978
154,2.952
155,2.976
156,2.937
157,2.945
158,2.944
159,2.953
160,2.989
161,2.979
162,2.979
163,2.956
164,2.945
165,2.916
166,2.964
167,2.96
168,2.981
169,2.984
170,2.987
171,2.974
172,2.946
173,2.963
174,2.969
175,2.979
176,2.97
177,2.968
178,2.976
179,2.954
180,2.959
181,2.97
182,2.947
183,2.981
184,2.952
185,2.978
186,2.966
187,2.985
188,2.952
189,2.939
190,2.978
191,2.985
192,2.989
193,2.972
194,2.998
195,2.966
196,2.966
197,3.001
198,3.0
199,3.009
